"","Date","Actual","Concensus","Predictor","GBPUSD daily return","GBPUSD jump return","EURUSD daily return","EURUSD jump return"
"35",2012-07-06,45000,90000,-45000,-0.231958762886597,-0.14803372594453,-0.887812752219541,-0.420134119738236
"36",2012-06-01,87000,150000,-63000,-0.279184521490716,0.672938716843063,0.469331607056156,0.527554581608625
"37",2012-05-04,77000,170000,-93000,-0.191606403362377,0.0494712757405091,-0.479087452471483,0.159987810452544
"38",2012-04-06,154000,203000,-49000,0.303298369771254,0.164027506151032,0.260277118579189,0.12252086683513
"39",2012-03-09,240000,210000,30000,-0.9667635536459,-0.101852441275707,-1.20545468243803,-0.454890068233516
"40",2012-02-03,275000,150000,125000,0.0569440050616876,-0.196090834334861,0.00760861294986093,-0.554879902705996
"41",2012-01-06,203000,150000,53000,-0.419625564880566,-0.15511892450879,-0.516229956980829,-0.203506574827816
"42",2011-12-02,1e+05,119000,-19000,-0.561009817671809,-0.165468083752307,-0.416109377322038,-0.155405905424411
"43",2011-11-04,1e+05,95000,5000,-0.0498784213479708,-0.0437226733291607,-0.267650462962965,-0.701678240740744
"44",2011-10-07,210000,73000,137000,0.803473077172301,0.212450910963757,-0.312825860271115,-0.733224707450753
"45",2011-09-02,104000,75000,29000,0.29055390702275,-0.0802568218298494,-0.455884415766583,-0.29467480530414
"46",2011-08-05,127000,91000,36000,0.805856299212615,-0.0184388444990802,1.35586001277772,0.763196947212208
"47",2011-07-08,46000,90000,-44000,0.463397833302026,0.608188601166226,-0.696524343525806,0.596700596700583
"48",2011-06-03,25000,190000,-165000,0.366636113657193,0.030624119556566,0.993926007730539,0.420950935063136
"49",2011-05-06,232000,196000,36000,0.0793602344179245,0.286532951289398,-1.30674002751031,0.275862068965527
"50",2011-04-01,221000,190000,31000,0.498970872575311,0.329807093963908,0.38825356487362,0.184344866704467
"51",2011-03-04,194000,183000,11000,-0.0245821042281213,-0.165959800848237,0.171944404642521,0.300924267392699
"52",2011-02-04,63000,121000,-58000,-0.23554205665407,0.111933337479009,-0.286259541984735,-0.227539635936591
"53",2011-01-07,121000,135000,-14000,0.588768115942018,0.433460568027422,-0.707637874009703,-0.123399660650936
"54",2010-12-03,71000,146000,-75000,1.12237044638277,0.409809822629192,1.51400454201362,0.770218228498076
"55",2010-11-05,172000,61000,111000,-0.528710193040693,-0.129358137242819,-1.27366124832876,-0.219624512929495
"56",2010-10-08,-41000,5000,-46000,0.535635515785482,0.264616935483875,0.0718545663576986,0.273716055607554
"57",2010-09-03,-57000,-105000,48000,0.454840805718004,0.246673158065569,0.553778956399653,0.0623441396508939
"58",2010-08-06,-54000,-65000,11000,0.49099836333879,0.308700308700316,0.819299044151101,0.736354664844763
"59",2010-07-02,-221000,-110000,-111000,0.191229805473148,-0.0460435440373552,0.255672738894197,0.191189357125787
"60",2010-06-04,433000,502000,-69000,-1.00560952250649,-0.395823380877636,-1.61184210526316,-0.00829875518671974
"61",2010-05-07,290000,177000,113000,0.263887949116981,-0.10948405638429,0.815841584158417,0.577485958389379
"62",2010-04-02,230000,187000,43000,-0.595004576958291,-0.39346842415896,-0.706713780918733,-0.405934017270648
"63",2010-03-05,-14000,-30000,16000,0.751879699248126,-0.172803402897781,0.287229341581963,-0.066278812872822
"64",2010-02-05,-26000,15000,-41000,-0.862725196650604,-0.0701217568687351,-0.46623442849858,-0.0146081367321527
"65",2010-01-08,-150000,-2000,-148000,0.627943485086346,0.644757433489818,0.769069425994551,0.827025511634427
"66",2009-12-04,4000,-125000,129000,-0.538252192319322,-0.192261475606825,-1.39516343343078,-0.836320191158901
"67",2009-11-06,-111000,-175000,64000,0.187017374517384,0.0180919068869967,-0.168135046069018,0.168180289270103
"68",2009-10-02,-219000,-188000,-31000,-0.194467097421747,0.0126127262407794,0.213219616204707,0.0894085281980761
"69",2009-09-04,-201000,-223000,22000,0.410312940167801,-0.317984467681764,0.329732005051198,-0.322558025383912
"70",2009-08-07,-276000,-345000,69000,-0.566318926974674,-0.0537024882152792,-1.27508361204013,-0.995821727019497
"71",2009-07-02,-467000,-375000,-92000,-0.885707352584331,-0.0610277065787979,-1.41352745777087,-0.192116123523545
"72",2009-06-05,-322000,-521000,199000,-1.03463230283131,-0.762885319109341,-1.49569634542118,-1.36870325948921
"73",2009-05-08,-504000,-620000,116000,1.37086577493846,0.0464529829451221,1.77810982443034,0.529061102831596
"74",2009-04-03,-699000,-658000,-41000,0.604168080917789,0.284533568186429,0.155983064695842,-0.417039022937149
"75",2009-03-06,-651000,-625000,-26000,-0.347050074367872,0.217864923747269,0.75763617513358,0.410580339518374
"76",2009-02-06,-655000,-5e+05,-155000,1.22393162393162,-0.32668617709114,1.03205629397969,0.640825257893085
"77",2009-01-09,-577000,-480000,-97000,-0.413711583924348,-0.862237899274931,-2.02145515580531,-1.25666691020677
"78",2008-12-05,-584000,-325000,-259000,0.374633880525854,-0.123026450686903,-0.446323702137641,0.118389897395432
"79",2008-11-07,-320000,-2e+05,-120000,0.629334703313633,0.113960113960121,0.670505640135666,0
"80",2008-10-03,-284000,-95000,-189000,0.709380852392028,-0.35119519655602,0.0289897086534374,-0.939374232242207
"81",2008-09-05,-73000,-71000,-2000,0.215896824044082,0.738678333996234,-0.161335578002242,0.575398217668943
"82",2008-08-01,-51000,-75000,24000,-0.499218395441481,-0.171908180806957,-0.365501763385701,-0.224603734839257
"83",2008-07-03,-51000,-55000,4000,-0.536771345439957,-0.286677060805718,-1.22726414500598,-0.982244049867775
"84",2008-06-06,-49000,-52000,3000,0.618103800572123,0.112411220683661,1.20667522464697,0.397461375729202
"85",2008-05-02,-28000,-78000,50000,-0.166970248937459,-0.372739636327002,-0.362061162474947,-0.381728778467905
"86",2008-04-04,-80000,-50000,-30000,-0.140308679094014,-0.235011750587522,0.318877551020402,0.0445462644775407
"87",2008-03-07,-76000,30000,-106000,0.203959804994525,0.158887785501505,-0.292435664153878,-0.402492858997661
